INFO 2026-05-22 19:00:37,892 services EXTRACT: Leyendo archivo Excel: /home/claude/healthcare-etl-platform/datasets/dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-22 19:00:38,434 services EXTRACT: 1850 registros leídos en 0.54s
INFO 2026-05-22 19:00:38,435 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-22 19:00:38,437 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-22 19:00:38,437 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-22 19:00:38,447 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-22 19:00:38,448 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-22 19:00:38,451 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-22 19:00:38,452 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-22 19:01:13,597 services EXTRACT: Leyendo archivo Excel: /home/claude/healthcare-etl-platform/datasets/dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-22 19:01:14,077 services EXTRACT: 1850 registros leídos en 0.48s
INFO 2026-05-22 19:01:14,078 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-22 19:01:14,080 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-22 19:01:14,080 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-22 19:01:14,091 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-22 19:01:14,092 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-22 19:01:14,095 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-22 19:01:14,095 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-22 19:01:14,106 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-22 19:01:14,106 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-22 19:01:14,115 services TRANSFORM: IMC recalculado
INFO 2026-05-22 19:01:14,134 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-22 19:01:14,134 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-22 19:01:14,137 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-22 19:01:14,582 services LOAD: 1800 registros cargados, 0 errores en 0.44s
INFO 2026-05-22 19:12:39,393 services EXTRACT: Leyendo archivo Excel: /home/claude/healthcare-etl-platform/datasets/dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-22 19:12:39,891 services EXTRACT: 1850 registros leídos en 0.5s
INFO 2026-05-22 19:12:39,892 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-22 19:12:39,897 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-22 19:12:39,898 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-22 19:12:39,909 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-22 19:12:39,910 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-22 19:12:39,913 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-22 19:12:39,914 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-22 19:12:39,925 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-22 19:12:39,925 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-22 19:12:39,935 services TRANSFORM: IMC recalculado
INFO 2026-05-22 19:12:39,956 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-22 19:12:39,956 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-22 19:12:39,956 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-22 19:12:40,428 services LOAD: 1800 registros cargados, 0 errores en 0.47s
INFO 2026-05-22 19:13:08,495 services EXTRACT: Leyendo archivo Excel: /home/claude/healthcare-etl-platform/datasets/dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-22 19:13:08,978 services EXTRACT: 1850 registros leídos en 0.48s
INFO 2026-05-22 19:13:08,978 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-22 19:13:08,982 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-22 19:13:08,982 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-22 19:13:08,993 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-22 19:13:08,994 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-22 19:13:08,997 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-22 19:13:08,998 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-22 19:13:09,010 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-22 19:13:09,010 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-22 19:13:09,019 services TRANSFORM: IMC recalculado
INFO 2026-05-22 19:13:09,039 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-22 19:13:09,039 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-22 19:13:09,039 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-22 19:13:09,509 services LOAD: 1800 registros cargados, 0 errores en 0.47s
INFO 2026-05-24 11:25:55,648 services Fuente: C:\Users\USUARIO\Downloads\healthanalytics-ips-py314-final\healthcare-etl-platform\datasets\dataset_clinico_etl_1800_registros.xlsx | Tipo: DATASET_BASE
INFO 2026-05-24 11:25:55,684 services EXTRACT: Leyendo archivo Excel: C:\Users\USUARIO\Downloads\healthanalytics-ips-py314-final\healthcare-etl-platform\datasets\dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-24 11:25:57,546 services EXTRACT: 1850 registros le�dos en 1.85s
INFO 2026-05-24 11:25:57,547 services TRANSFORM: Iniciando transformaci�n de datos...
INFO 2026-05-24 11:25:57,558 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-24 11:25:57,562 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-24 11:25:57,599 services TRANSFORM: Validando rangos cl�nicos...
INFO 2026-05-24 11:25:57,829 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-24 11:25:57,866 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-24 11:25:57,871 services TRANSFORM: Normalizando variables categ�ricas...
INFO 2026-05-24 11:25:57,896 services TRANSFORM: IMC recalculado
INFO 2026-05-24 11:25:57,958 services TRANSFORM: Clasificaci�n de riesgo aplicada
INFO 2026-05-24 11:25:57,959 services TRANSFORM: Completado. 1800 registros v�lidos
INFO 2026-05-24 11:25:57,963 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-24 11:25:59,155 services LOAD: 1800 registros cargados, 0 errores en 1.18s
INFO 2026-05-24 11:26:18,246 services Fuente: C:\Users\USUARIO\AppData\Local\Temp\tmpgrspubj9.xlsx | Tipo: EXCEL_UPLOAD
INFO 2026-05-24 11:26:18,254 services EXTRACT: Leyendo archivo Excel: C:\Users\USUARIO\AppData\Local\Temp\tmpgrspubj9.xlsx
INFO 2026-05-24 11:26:19,046 services EXTRACT: 1850 registros le�dos en 0.79s
INFO 2026-05-24 11:26:19,050 services TRANSFORM: Iniciando transformaci�n de datos...
INFO 2026-05-24 11:26:19,062 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-24 11:26:19,079 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-24 11:26:19,174 services TRANSFORM: Validando rangos cl�nicos...
INFO 2026-05-24 11:26:19,576 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-24 11:26:19,739 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-24 11:26:19,752 services TRANSFORM: Normalizando variables categ�ricas...
INFO 2026-05-24 11:26:19,826 services TRANSFORM: IMC recalculado
INFO 2026-05-24 11:26:19,889 services TRANSFORM: Clasificaci�n de riesgo aplicada
INFO 2026-05-24 11:26:19,890 services TRANSFORM: Completado. 1800 registros v�lidos
INFO 2026-05-24 11:26:19,891 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-24 11:26:23,419 services LOAD: 1800 registros cargados, 0 errores en 3.53s
INFO 2026-05-24 11:48:30,745 services ═══ INICIO ETL ══════════════════════════════════
INFO 2026-05-24 11:48:30,747 services Fuente: C:\Users\USUARIO\Downloads\healthanalytics-ips-py314-final\healthcare-etl-platform\datasets\dataset_clinico_etl_1800_registros.xlsx | Tipo: DATASET_BASE
INFO 2026-05-24 11:48:30,747 services EXTRACT: Leyendo archivo Excel: C:\Users\USUARIO\Downloads\healthanalytics-ips-py314-final\healthcare-etl-platform\datasets\dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-24 11:48:32,697 services EXTRACT: 1850 registros leídos en 1.95s
INFO 2026-05-24 11:48:32,702 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-24 11:48:32,749 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-24 11:48:32,755 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-24 11:48:32,820 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-24 11:48:32,831 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-24 11:48:32,870 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-24 11:48:32,897 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-24 11:48:33,002 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-24 11:48:33,013 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-24 11:48:33,062 services TRANSFORM: IMC recalculado
INFO 2026-05-24 11:48:33,144 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-24 11:48:33,146 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-24 11:48:33,146 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-24 11:48:38,298 services LOAD: 1800 registros cargados, 0 errores en 5.15s
INFO 2026-05-24 11:48:38,310 services ═══ ETL COMPLETADO en 7.56s ═══════════════
INFO 2026-05-25 19:13:20,975 services ═══ INICIO ETL ══════════════════════════════════
INFO 2026-05-25 19:13:20,976 services Fuente: C:\Users\USUARIO\Desktop\healthanalytics-ips\datasets\dataset_clinico_etl_1800_registros.xlsx | Tipo: DATASET_BASE
INFO 2026-05-25 19:13:20,977 services EXTRACT: Leyendo archivo Excel: C:\Users\USUARIO\Desktop\healthanalytics-ips\datasets\dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-25 19:13:26,881 services EXTRACT: 1850 registros leídos en 5.9s
INFO 2026-05-25 19:13:26,883 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-25 19:13:27,037 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-25 19:13:27,067 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-25 19:13:27,314 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-25 19:13:27,322 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-25 19:13:27,400 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-25 19:13:27,403 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-25 19:13:27,533 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-25 19:13:27,535 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-25 19:13:27,635 services TRANSFORM: IMC recalculado
INFO 2026-05-25 19:13:27,833 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-25 19:13:27,846 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-25 19:13:27,848 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-25 19:13:32,066 services LOAD: 1800 registros cargados, 0 errores en 4.22s
INFO 2026-05-25 19:13:32,080 services ═══ ETL COMPLETADO en 11.1s ═══════════════
INFO 2026-05-27 18:23:46,686 services ═══ INICIO ETL ══════════════════════════════════
INFO 2026-05-27 18:23:46,690 services Fuente: C:\Users\USUARIO\Desktop\healthanalytics-ips\datasets\dataset_clinico_etl_1800_registros.xlsx | Tipo: DATASET_BASE
INFO 2026-05-27 18:23:46,690 services EXTRACT: Leyendo archivo Excel: C:\Users\USUARIO\Desktop\healthanalytics-ips\datasets\dataset_clinico_etl_1800_registros.xlsx
INFO 2026-05-27 18:23:48,224 services EXTRACT: 1850 registros leídos en 1.53s
INFO 2026-05-27 18:23:48,224 services TRANSFORM: Iniciando transformación de datos...
INFO 2026-05-27 18:23:48,234 services TRANSFORM: 50 duplicados eliminados
INFO 2026-05-27 18:23:48,234 services TRANSFORM: Convirtiendo tipos de datos...
INFO 2026-05-27 18:23:48,258 services TRANSFORM: Validando rangos clínicos...
INFO 2026-05-27 18:23:48,265 services TRANSFORM: 5 valores fuera de rango en peso → NaN
INFO 2026-05-27 18:23:48,271 services TRANSFORM: 5 valores fuera de rango en temperatura → NaN
INFO 2026-05-27 18:23:48,271 services TRANSFORM: Tratando valores nulos...
INFO 2026-05-27 18:23:48,298 services TRANSFORM: 191 valores nulos tratados
INFO 2026-05-27 18:23:48,303 services TRANSFORM: Normalizando variables categóricas...
INFO 2026-05-27 18:23:48,319 services TRANSFORM: IMC recalculado
INFO 2026-05-27 18:23:48,367 services TRANSFORM: Clasificación de riesgo aplicada
INFO 2026-05-27 18:23:48,367 services TRANSFORM: Completado. 1800 registros válidos
INFO 2026-05-27 18:23:48,367 services LOAD: Cargando 1800 registros en MySQL...
INFO 2026-05-27 18:23:52,550 services LOAD: 1800 registros cargados, 0 errores en 4.18s
INFO 2026-05-27 18:23:52,550 services ═══ ETL COMPLETADO en 5.86s ═══════════════
